step,step_enabled,description,category,command,regex,has_score,low_impact_result1,med_impact_result2,high_impact_result3,low_recommendation,med_recommendation,high_recommendation
25,yes,Get Snapshot Network Bytes/Sec,Script Use,"typeperf -sc 1 -si 3 ""\Network Interface(*)\Bytes Total/sec""  | findstr /E ""\""[0-9]*\.[0-9]*\"""">>%Temp%\gtcsrt25.tmp",,no,,,,,,
25,yes,Snapshot Network Bytes/Sec,Perf,type %Temp%\gtcsrt25.tmp,",""(\d*\.*\d+)""",no,,,,,,
26,yes,Get Snapshop SQL User Connections,Script Use,"typeperf -sc 1  ""[[SQLInstance]]:General Statistics\User Connections""  | findstr /E ""\""[0-9]*\.[0-9]*\"""">>%Temp%\gtcsrt26.tmp",,no,,,,,,
26,yes,Snapshop SQL User Connections,Perf,type %Temp%\gtcsrt26.tmp,",""(\d*\.*\d+)""",no,,,,,,
27,yes,Data Collector Users,Feature,"sqlcmd -H localhost,1433 -I -Q ""DECLARE @dc TABLE(a int);insert INTO @dc (a) EXEC sp_MSForEachdb ''use ?;SELECT count(name) FROM sys.database_principals where name like ''''dc_%''''''; select sum(a) DcUsers from @dc;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 10,-gt 20,Consider integrating SQL Insights with the Cloud Operations Suite,Consider integrating SQL Insights with the Cloud Operations Suite,Consider integrating SQL Insights with the Cloud Operations Suite
28,yes,Policy Management Policies Enabled,Feature,"sqlcmd -H localhost,1433 -I -Q ""USE msdb;SELECT count(*) PoliciesEnabled FROM syspolicy_policies where is_enabled =1 ;""  ",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
29,yes,External Scripts Enabled (ML/R),Feature,"sqlcmd -H localhost,1433 -I -Q ""Declare @extscript Table (a char(50), b int, c int, d int, e int )insert  into @extscript exec sp_configure; select e ExtScriptsEnabled  from @extscript where a=''external scripts enabled''; """,---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
30,yes,Compute Nodes Used (Polybase),Feature,"sqlcmd -H localhost,1433 -I -Q ""select count (*) ComputeNodes from sys.dm_exec_compute_nodes;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
31,yes,Resource Governor Groups,Feature,"sqlcmd -H localhost,1433 -I -Q ""select count(*) ResGovGroups FROM sys.resource_governor_workload_groups;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 2,-gt 2,Use Cloud SQL Insights with Cloud Operations Suite,Use Cloud SQL Insights with Cloud Operations Suite,Use Cloud SQL Insights with Cloud Operations Suite
32,yes,SQL Server Audits,Feature,"sqlcmd -H localhost,1433 -I -Q ""select count (*) ServerAudits from sys.server_audits;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
33,yes,Server-Level Triggers,Feature,"sqlcmd -H localhost,1433 -I -Q ""select count(*) ServTriggers from sys.server_triggers;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
34,yes,Service Broker Tasks,Feature,"sqlcmd -H localhost,1433 -I -Q ""select count(*) ServBrokerTasks from sys.dm_broker_activated_tasks;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
35,yes,SQL Endpoints,Feature,"sqlcmd -H localhost,1433 -I -Q ""SELECT count (*) Endpoints FROM sys.endpoints where state =0;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 4,-gt 8,-gt 12,"Consider creating middleware applications that connect with standard connection strings using Cloud Run, Cloud Functions, App Engine","Consider creating middleware applications that connect with standard connection strings using Cloud Run, Cloud Functions, App Engine","Consider creating middleware applications that connect with standard connection strings using Cloud Run, Cloud Functions, App Engine"
36,no,DBs with CDC Enabled,Feature,"sqlcmd -H localhost,1433 -I -Q ""select count(*) DBsWithCdc from sys.databases where is_cdc_enabled=1;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
37,yes,CLR Procedures/Functions Used,Feature,"sqlcmd -H localhost,1433 -I -Q ""Declare @UserCLRObjects Table (a int);insert into @UserCLRObjects exec sp_MSforeachdb ''Select count(*) a From ?..sysobjects where ObjectProperty(id, ''''IsMSShipped'''') =0 and (xtype =''''FS'''' or type =''''FT'''' or type =''''TA'''' or type =''''PC''''); '' select SUM(a) UserCLRObjects from @UserCLRObjects; """,---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
38,yes,Linked Servers,Feature,"sqlcmd -H localhost,1433 -I -Q ""SELECT count(*) LinkedServiers FROM sys.servers WHERE is_linked = 1;""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
39,yes,External Access Assemblies,Feature,"sqlcmd -H localhost,1433 -I -Q ""select COUNT(*) ExtAccAsmblyEnabled from sys.server_permissions where permission_name = ''External access assembly'' and state=''G'';""",---\s*(\w+)\s*\(\d+\srows,yes,-gt 0,-gt 0,-gt 0,,,
